Palavra_Chave;Bundle_Id;Nome_do_aplicativo;Numero_de_avaliacoes;Numero_de_estrelas;Numero_de_instalacoes;Tamanho do aplicativo;Versao_do_android_exigida;Numero_de_comentarios;Avaliacoes_sem_comentario
learn programming;com.dztall.ccr.android.admob;Mobile C [ C/C++ Compiler ];6328;4.1;500,000+;78M;4.0.3 and up;2823;3505
learn programming;com.do_apps.catalog_68;Programming languages;1410;4.1;100,000+;40M;4.4 and up;308;1102
learn programming;com.djm.offlinepythonnotes;Learn Python Offline- Tutorial and Interpreter;772;4.4;50,000+;4.2M;4.1 and up;337;435
learn programming;com.spyboy.cprogramming;C Programming;103;4.4;10,000+;5.9M;4.1 and up;52;51
learn programming;learn.apps.pythonprogramming;Learn Python Programming;68;4.3;10,000+;3.3M;4.0.3 and up;32;36
learn programming;com.learnacademic.computer_programming;Learn Computer Programming Full;undefined;undefined;1,000+;8.9M;4.0 and up;undefined;NaN
learn programming;com.shalik.patel.cprogrammingsolution;Programming Solutions;151;4.8;10,000+;4.7M;4.1 and up;88;63
learn programming;sambhaji.asp.vb;Learn .Net Framework;879;4.0;100,000+;8.7M;4.4 and up;270;609
learn programming;gudev.visualbasicvb.net;Learn VB.Net Programming Language;undefined;undefined;1,000+;7.9M;4.0.3 and up;undefined;NaN
learn programming;com.apkzube.learnpython;Learn Python Programming - Offline Tutorial;487;4.6;100,000+;5.8M;4.4 and up;216;271
learn programming;com.practice_o_learn.javaprogramming;Learn Java Programming;76;4.5;10,000+;3.0M;4.0 and up;52;24
learn programming;com.codeliber.html;Learn HTML;393;4.6;10,000+;3.6M;5.0 and up;205;188
learn programming;technark.htmlforbegineers;HTML For Beginners;57;4.8;5,000+;3.4M;4.0 and up;25;32
learn programming;com.programminginbangla;বাংলায় প্রোগ্রামিং;184;4.3;10,000+;6.4M;4.0 and up;94;90
learn programming;com.zenva.codemurai;Codemurai - Learn Programming;2659;4.5;100,000+;1.5M;5.0 and up;1087;1572
learn programming;com.japangor.learntocodec;Learn To Code (C++);82;3.6;10,000+;6.0M;4.0.3 and up;29;53
learn programming;com.apkzube.learnjavaprogramming;Learn Java;234;4.3;50,000+;6.7M;4.4 and up;128;106
learn programming;com.sizzlesoftlabs.learn.expertc;Expert C Programming - Learn C Coding Easily;95;4.3;10,000+;7.3M;5.0 and up;56;39
learn programming;com.futurevisioncomputers.excelvba;Learn Offline VBA Programming - Tutorials for VBA;75;4.3;10,000+;6.7M;4.1 and up;43;32
learn programming;ab.java.programming;Java Programming;9578;3.4;1,000,000+;3.5M;2.3.3 and up;3156;6422
learn programming;com.skyapper.learnspring;Learn Spring Framework - Java;14;4.7;5,000+;5.3M;4.3 and up;9;5
learn programming;technark.bca_courprogramming;BCA - Course Programming;678;4.4;50,000+;5.5M;4.0 and up;330;348
learn programming;com.apps.athena.programminglanguages;Programming Languages;418;4.4;100,000+;3.3M;4.1 and up;160;258
learn programming;com.duy.pascal.compiler;Pascal N-IDE - Editor And Compiler - Programming;11322;4.7;500,000+;6.0M;4.0 and up;4731;6591
learn programming;com.programmarc.cprogrammingbangla;C Programming Bangla;221;4.1;10,000+;4.9M;4.0.3 and up;92;129
learn programming;in.intelitech.computerprogramming;Computer Programming;6;4.3;5,000+;4.7M;4.0.3 and up;3;3
learn programming;com.rpms.rohitpatil.learnjava;Learning Java;147;4.6;10,000+;27M;4.4 and up;99;48
learn programming;com.enki.insights;Enki: Learn data science, coding, tech skills;16378;4.6;500,000+;12M;4.3 and up;5848;10530
learn programming;com.nsk.cprogramming;Learn C Programming;504;4.2;50,000+;1,000k;2.2 and up;156;348
learn programming;bishrulhaq.learntocode;Learn To Code : Free & Offline;31;4.3;10,000+;12M;4.0 and up;15;16
learn programming;com.yugenchokshi.wil;WeCode : Learn Coding Anywhere;61;4.6;1,000+;5.3M;4.4 and up;26;35
learn programming;in.intelitech.cobol;Learn - COBOL;8;4.9;1,000+;4.1M;4.0.3 and up;2;6
learn programming;ab.codelyf;Codelyf - Learn Programming;250;4.4;10,000+;5.7M;5.0 and up;117;133
learn programming;com.codepoint.learnhtml5;Learn HTML Programming Free - HTML Tutorials;11;4.2;1,000+;2.7M;4.4 and up;6;5
learn programming;com.skyapper.hb.learncnet;Learn C#.NET;36;4.3;10,000+;4.1M;4.4W and up;21;15
learn programming;io.kodular.ahmedkarundawala245.Learn_HTML;Learn HTML: Web Design Tutorial;10;4.8;500+;6.5M;4.1 and up;6;4
learn programming;com.sololearn.csharp;Learn C#;20847;4.5;1,000,000+;6.2M;4.0.3 and up;7180;13667
learn programming;com.coding.dmr.c;C Tutorials - Offline;14;4.4;1,000+;5.0M;4.2 and up;9;5
learn programming;com.codetoinvent.malik.cplusplus;Learn C++ Programming - Tutorial;108;4.6;10,000+;8.4M;4.4 and up;48;60
learn programming;info.cntrlapps.prolearn;LearnProg | Learn Programming Languages;7;3.9;500+;3.4M;4.1 and up;5;2
learn programming;com.sitseducators.cpppatternprogramsfree;C++ Pattern Programs Free;3373;4.7;100,000+;7.4M;4.0 and up;1059;2314
learn programming;ltos.learn.cand.java;Learn C , C++ ,Java,Android-Smart Programming;54;4.1;10,000+;4.4M;4.1 and up;21;33
learn programming;com.tops.learnvern;Learn IT Courses for Free in Hindi LearnVern;653;4.6;10,000+;6.5M;4.1 and up;395;258
learn programming;com.datacamp;DataCamp - Learn R, Python & SQL coding;7021;4.8;100,000+;10M;4.4 and up;2716;4305
learn programming;com.bnb.javaprogramming;Java Programming - Learn Coding;8;4.1;1,000+;Varies with device;Varies with device;7;1
learn programming;mc.javatutor.offline;Learn Java Offline;6;4.3;1,000+;9.3M;4.4 and up;4;2
learn programming;earthcoding.c.learn.learnc;Learn C Programming;undefined;undefined;100+;4.3M;4.4 and up;undefined;NaN
learn programming;com.careerkarma.chat;Career Karma - Learn to Code for Adults;343;4.7;10,000+;13M;5.0 and up;237;106
learn programming;com.sololearn.csstrial;Learn CSS;13459;4.7;1,000,000+;6.2M;4.0.3 and up;4352;9107
learn programming;com.chavan.oops;Object Oriented Programming (Oops);94;4.6;10,000+;3.8M;4.0.3 and up;65;29
learn programming;com.sololearn.java;Learn Java;55379;4.6;1,000,000+;6.2M;4.0.3 and up;18333;37046
learn programming;com.sitseducators.cpatternprogramsfree;C Pattern Programs Free;6302;4.7;100,000+;7.5M;4.0 and up;2299;4003
learn programming;com.japangor.learnjava;Learn To Code (JAVA);191;4.1;50,000+;5.9M;4.1 and up;76;115
learn programming;com.muzudre.Probooks;iBooks: Free Coding eBooks 👨‍💻 Programming Books;70;4.5;5,000+;Varies with device;4.1 and up;39;31
learn programming;com.codepoint.learncplusplus;Learn C++ Programming Offline - C++ Tutorials Free;15;4.1;1,000+;2.5M;4.4 and up;10;5
learn programming;net.jshero;JavaScript Hero - Learn to Code for Free;144;4.2;10,000+;2.1M;4.1 and up;104;40
learn programming;com.edokiacademy.babycoding;Code Karts Pre-coding for kids;219;3.8;50,000+;23M;4.1 and up;106;113
learn programming;com.sololearn.ruby;Learn Ruby;954;4.7;100,000+;6.2M;4.0.3 and up;324;630
learn programming;wiki.algorithm.algorithms;Algorithms: Explained and Animated;6221;4.6;1,000,000+;41M;4.0.3 and up;2359;3862
learn programming;com.futurevisioncomputers.python;Learn Python Tutorial for Beginners with Examples;undefined;undefined;1,000+;8.8M;4.0 and up;undefined;NaN
learn programming;com.duhnnae.programmingprogramacion;Programming - Learning - Tutorials;57;4.4;10,000+;7.1M;4.1 and up;39;18
learn programming;com.continuum.learnhtml;Learn HTML Pro - Offline Program Run;191;4.3;10,000+;4.3M;4.0 and up;108;83
learn programming;com.adriada.impararejava;Learn Java;66;4.4;5,000+;4.0M;5.0 and up;29;37
learn programming;com.soft24hours.dictionaries.dictionary22;Programming languages;29;4.2;10,000+;7.2M;5.0 and up;14;15
learn programming;com.jaypeesoft.ds;Data Structures & Coding Interview Algorithms;554;4.6;100,000+;11M;4.1 and up;207;347
learn programming;org.khanacademy.android;Khan Academy;102282;4.5;10,000,000+;21M;Varies with device;36540;65742
learn programming;c.spotapps.com.learnc;Learn C Programming Language;14;4.9;100+;2.0M;4.4 and up;6;8
learn programming;tursky.jan.nauc.sa.html5;Learn programming;12829;3.8;1,000,000+;6.8M;4.0.3 and up;2832;9997
learn programming;com.learning.examples.arduino;Learn Arduino Coding;9;3.6;1,000+;8.1M;4.1 and up;2;7
learn programming;com.jaindev.c;Learn C Programming (Examples) (OFFLINE);45;4.2;10,000+;3.7M;4.1 and up;12;33
learn programming;com.freetymekiyan.apas;Leetcode Algorithm Coding, Java Interview Offline;483;4.7;10,000+;5.6M;4.0.3 and up;162;321
learn programming;programming.android.tutorial;Android Tutorial: Learn Android, Java & Kotlin;548;4.3;10,000+;8.0M;4.3 and up;302;246
