Bundle Id;Número de estrelas do comentário;Texto do comentário;Id do comentário;Data do comentário;Numero de estrelas do aplicativo
pe.diegoveloper.pseudocode;4;Me gustaria que tuviera mas opciones como cambiar el lenguaje y algunos otras funciones que lo haganas practico y entendible.;gp:AOqpTOEyNpEBNgDGfxBOe1PDcViYY3kW92NRab9091s9yc-Qudy_Ss3fMya1enU873677Y2fKXGQS6nW_w0nsX8;2017-03-16T17:42:56.439Z;4.4
pe.diegoveloper.pseudocode;5;Não trava simples e prático, ótimos exemplos.;gp:AOqpTOGZO-GthWNyo0i9W7lqT3-ENBJJ8cM3jpkPupX-ssbFX21NYDXr9EG2JPM9u_BnndRYWoCjS61KHdFS8f0;2017-03-16T17:23:15.510Z;4.4
pe.diegoveloper.pseudocode;5;it's perfect, keep up the good work;gp:AOqpTOHcsSZdLT1ylYKLSdy5jLzGd-8C94M_smQ6S4d-7_SgJGhhlkS84zlO5x6zzrbIi89K9EwTR1ZQN7kYDFc;2017-03-15T17:44:10.681Z;4.4
pe.diegoveloper.pseudocode;3;Bro i understand that u r spanish but for our ease plz upload photos in english;gp:AOqpTOHf-IqeOMc62Vli0NoLW0Ws-Zaj2Y59PdXBMe379tbvcrC6Cco__5rKd7HkYGZ4jaOXqyZ3Egf5phnV-hc;2017-03-09T20:58:06.295Z;4.4
tursky.jan.nauc.sa.html5;5;Great and educative app!;gp:AOqpTOG8a60B0IYvXCIeect8kuXD8DmZx_FTHKio4N53MeNpt0fEvN9QLtw8yYFbBCGzkC0x_ISm2cWEA_FjXyw;2019-09-29T01:57:27.540Z;3.8
tursky.jan.nauc.sa.html5;5;This app iz awesome;gp:AOqpTOGKnj_vVxDH_WcHPQ4vzGmyb8s7Jnbf5UTCapHwjAsinUTJcCgcqpFOFU3b4UoA5Okk8HhehnF_amkglXk;2019-09-20T21:10:14.984Z;3.8
tursky.jan.nauc.sa.html5;5;Amazing, thank you for this app;gp:AOqpTOGboYVFQAf9MDA5E2thppR6aheyHT5MrcCmywWEoNkW9tK94We8aWzFlU0cp3YjePeXPOVsMjmS54yt8J8;2019-09-20T16:28:35.905Z;3.8
tursky.jan.nauc.sa.html5;3;yah it got more info but ....pliz make it offline!;gp:AOqpTOG_nktB5rbbQSrrR1ES8514oPwC2-sZ67lPOZxlr9rwWSzBFjGdRXI6sVMRdyl9_Yfsuq7wrlrtpJvBCgg;2019-08-20T01:14:43.534Z;3.8
tursky.jan.nauc.sa.html5;5;One of the best application available on play store for coding learning, get experience and also sites related to topic in most languages.;gp:AOqpTOEvM0S1siHzkfTShQaP7BSjYhfTzywZgMHeMhIBxEFm3NdEZc56NaxITZsMPHlW8_-LD6Gg2UrWLZ0_rzM;2019-07-27T16:41:25.400Z;3.8
tursky.jan.nauc.sa.html5;5;It is a eassy way to learn computer language.;gp:AOqpTOGQ6WPe0BUv-xyjRN9wzvmz68jHEbgzrq7k20iT63kpXtriIQiANAQt1jszttzUPBmybv0sMlyWXoVuXDw;2019-07-07T17:48:00.145Z;3.8
tursky.jan.nauc.sa.html5;1;it's not even decent. No real training within it.;gp:AOqpTOFBE8G6oGqV21npKRzrwL9PzoHGOoLaOBIvE31o7ZKnTyr3iALYLywKsu67t7N9wDpwU6jg47V-VguMog0;2019-05-03T21:26:10.688Z;3.8
tursky.jan.nauc.sa.html5;5;great program;gp:AOqpTOFwJmB4fCJ50xcwC5qgMe8VKN6qpFP9BiTfGtQyuC_OnpuwVqn-MKYTw5eYtMP6-W1grCYb-BjQS0N0fbM;2019-04-08T12:01:50.636Z;3.8
tursky.jan.nauc.sa.html5;1;its a dump of tutorials.;gp:AOqpTOFTYyM_W606QeLXc9vW9CfXTuk_X8Un9u8Ncv-9fYcHKoL2Fv92mjwTYLBF6Lhtz07GRrOc2FbRtoDPmV0;2019-03-29T21:03:54.890Z;3.8
tursky.jan.nauc.sa.html5;4;the best programming educational app which is free yes some codes are wrong bt and too many ads bt it is still better than apps who provide little information for free n everything else is paid;gp:AOqpTOHqeuyDHOaVmzmHV62cANRSrUY04cQAp-xFB7GBvylHWbf2US4zHhZ9j3JAS3Vx5dzvqcSbHfbozZQ2JbQ;2019-03-09T21:04:22.214Z;3.8
tursky.jan.nauc.sa.html5;1;I find lots of source code programs wrong. I've noticed lots of wrong sourcecodes. I get all source code in 1 line and there are some wrong characters. It's completely unusable and useless unless you fix it. Running Marshmallow 6.0.1. Edit : I downloaded and installed previous version of the app and it works just fine (Version 6.5). Please fix the issue with the latest version.;gp:AOqpTOGpcpglNHmp8C7-hDD0g4MEr4plN0rLbahsgq809vuZ_2HCHc_824G5V9ZH6cpBVtkxMjRhGlANbPX-0ys;2019-02-17T18:21:14.113Z;3.8
