bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais
com.kids.coding.firefighter;1;1;0;2
com.vineeta.pythonprogramming;10;0;1;11
com.codengoclient;4;0;1;5
in.ajaykhatri.pythontutorial;39;3;16;58
com.jaindev.assembly;4;1;0;5
com.quantumappsolutions.learnprogramming;13;0;2;15
c.programming;149;20;31;200
com.do_apps.catalog_285;10;2;2;14
com.higgx.studying;3;0;3;6
com.jaypeesoft.ds;142;10;16;168
in.intelitech.lispprogramming;0;0;2;2
com.app1daily.a1db304;1;1;1;3
com.illusorytapirus.morsecodelesson;27;7;7;41
cc.makeblock.makeblock;92;51;57;200
net.jshero;7;2;1;10
com.japangor.learnjava;48;9;10;67
com.rosapp.morsecode;3;3;3;9
com.webtapps.learn_json_programming;3;0;1;4
com.skyapper.learnsqlandsqlserver;5;1;1;7
net.andromo.dev653868.app655379;8;0;1;9
com.skycodetech.codingquiz;43;4;6;53
mc.javatutor.offline;2;0;1;3
com.raincontinues.simplc2;12;1;1;14
com.futurevisioncomputers.python;2;0;0;2
com.awwalsoft.javawebprogramming;59;3;10;72
com.codepoint.learncss;2;0;0;2
com.do_apps.catalog_485;2;0;1;3
com.frizzl.app.frizzleapp;2;0;1;3
com.back_banchers.cplusplus;9;0;3;12
com.codetoinvent.malik.cplusplus;27;1;2;30
com.skyapper.learnpythonwithdatascience;6;0;0;6
com.thenewday.programmingcalendar.tpc;14;0;6;20
com.krazeapps.csharpprogrammingcompiler;2;0;0;2
com.back_banchers.python_programming;2;0;0;2
com.krazeapps.vhdlprogrammingcompiler;0;2;0;2
in.softecks.javascript;7;0;1;8
com.machinelearningforsmallbusiness.leetcodepython;12;0;1;13
com.educationapps.cncguide;4;0;2;6
com.barmej.android;23;10;46;79
learn.html.programming;11;3;4;18
com.jesusdigitalrd.jpcsim;89;43;68;200
ltos.learn.cand.java;15;2;3;20
com.appscook.parentconnect.app.android.alphonsakop;5;1;2;8
eg.io.aliqohal71.android.apk.abc;1;0;3;4
com.coderbro.tutorial.arduinoprogrammingduo;13;1;7;21
com.codepoint.learnkotlin;4;0;1;5
com.java.user.javaprogramming;34;1;1;36
techhunt.com.androidexamples;30;5;5;40
com.qtechbd.tutorial.python;6;1;0;7
com.japangor.learnjs;1;1;1;3
com.foxbox.app.nslc.android;1;0;0;1
com.tool.calculator.casio.fx991.es.plus;162;7;31;200
com.antlem.coderhub;15;0;1;16
com.HealthFitnessAndTutorials.JavaAdvanceJavaTutorial;1;0;1;2
com.JustForYouLimited.LearnJavaScriptOffline;6;1;0;7
com.makeblock.mblock;25;5;7;37
br.com.iped;3;0;12;15
com.muzudre.Probooks;16;2;1;19
com.do_apps.catalog_68;38;2;12;52
com.brainbox.excelvba;19;1;0;20
com.apkzube.learncpp;37;2;1;40
com.mhasancse15.programminglanguage;10;1;2;13
com.app4daily.computerrepairingcourse;6;0;0;6
com.tutorials.learn.androidexample;85;5;17;107
com.lego.education.wedo;45;5;26;76
com.spyboy.cplusplusprogramming;13;0;6;19
juanantonioripoll.practiceexercisescsharp;22;3;10;35
com.clickapp.ik.listview;4;0;0;4
com.untan.siakaddosen;0;0;1;1
com.sandrobot.aprovado;11;1;49;61
com.avstore.cctutorials;8;0;1;9
in.softecks.fortran;1;0;0;1
br.com.crewti.minhaleitura;14;2;10;26
com.appsfactory.learncplusplus;3;0;1;4
all.about.computer;20;1;3;24
blueskydeveloper.androidprogramming;6;0;0;6
com.quadosoft.ethicalhacking;1;0;0;1
com.myapps.rishabhrawat.codingebooks;7;1;0;8
br.com.acaicomcodigo.informaticanobolso;1;0;0;1
learn.apps.pythonprogramming;19;1;7;27
com.wbut.objectorientedprogramming;1;1;0;2
com.jaindev.c;8;0;1;9
programmerbooks.com.app;7;3;0;10
com.superdream.rprogramming;9;1;1;11
com.nestik.phyton;3;0;1;4
learn.css.programming;0;0;1;1
da.namanmadan.com.programmingcheatsheets;10;3;3;16
com.CodeHub.competitivecoding;19;1;3;23
com.spyboy.cprogramming;23;1;8;32
com.infoland.oops;2;1;1;4
com.qtechbd.tutorial.csharp;3;0;2;5
com.codepoint.learncplusplus;8;1;0;9
com.app.cprogramingapp;15;1;0;16
com.susanapp.cursodeinformatica;7;1;1;9
com.krazeapps.vbnetprogrammingcompiler;6;1;4;11
learn.apps.csharpprogramming;5;0;3;8
in.intelitech.assembly;2;0;0;2
in.intelitech.computerprogramming;0;0;1;1
pk.mitz.calculatorsworld.computerscience;2;0;2;4
com.quseit.qlua5pro2;19;6;9;34
com.educationapps.visualbasicnet;10;0;7;17
net.egordmitriev.cheatsheets;23;3;10;36
com.order.sony.orderone;0;2;2;4
mum.mum.java_test;7;0;0;7
com.app1daily.learncobol;1;0;1;2
com.codepoint.learnswift;7;0;1;8
com.app1daily.learnmatlab;3;1;1;5
com.williems.linformatique;17;0;4;21
com.programming_with_java.fullmasti;1;1;4;6
com.codepoint.learnjava;4;0;0;4
net.simplifiedcoding.simplifiedcoding;32;2;3;37
com.pkj.learnpython;16;1;5;22
