bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais;estatistica do aplicativo;numero de estrelas
com.jcharistechn.learnjuliaprogramming;4;0;1;5;1;undefined
com.jaindev.python;10;1;4;15;0.9090909090909091;undefined
miwok.android.example.com.learnc;55;2;7;64;0.9649122807017544;undefined
net.androidsquad.androidmaster;149;14;37;200;0.9141104294478528;undefined
com.awwalsoft.javabasicslearning;152;3;32;187;0.9806451612903225;undefined
com.getmimo;153;18;29;200;0.8947368421052632;undefined
com.upskew.encode;176;7;17;200;0.9617486338797814;undefined
com.buta.caculator;166;2;32;200;0.9880952380952381;undefined
org.edx.mobile;172;6;22;200;0.9662921348314607;undefined
com.babbel.mobile.android.es;169;3;28;200;0.9825581395348837;undefined
com.sitseducators.cpppatternprogramsfree;164;5;31;200;0.9704142011834319;undefined
com.nits.foundationworldsrinagar.app;22;4;13;39;0.8461538461538461;undefined
ru.iiec.cxxdroid;146;16;38;200;0.9012345679012346;undefined
br.com.passeidireto;60;11;129;200;0.8450704225352113;undefined
com.zenva.codemurai;161;11;28;200;0.936046511627907;undefined
com.spdroid.c;162;8;30;200;0.9529411764705882;undefined
com.mres.schedule;172;5;23;200;0.9717514124293786;undefined
engg.hub.object.oriented.programming;6;2;2;10;0.75;undefined
air.com.rosettastone.mobile.CoursePlayer;158;13;29;200;0.9239766081871345;undefined
com.improvecodingskills.learnandroidprogramming;98;5;10;113;0.9514563106796117;undefined
coolfreeapps.appslaborator.learn.c.programming;0;1;0;1;0;undefined
org.scratchjr.android;124;31;45;200;0.8;undefined
com.sololearn.python;149;19;32;200;0.8869047619047619;undefined
com.coderbro.tutorial.arduinoadvanced;3;1;2;6;0.75;undefined
com.gazzappergames.simpleturtle.logo.educational;17;14;12;43;0.5483870967741935;undefined
net.joeyt.learnable;7;2;3;12;0.7777777777777778;undefined
com.coderbro.tutorial.a8051microcontroller;4;0;2;6;1;undefined
com.cprogrammingzone.free;166;10;24;200;0.9431818181818182;undefined
com.learn.tech.datascience;26;9;16;51;0.7428571428571429;undefined
com.ombiel.campusm.contracosta;5;4;7;16;0.5555555555555556;undefined
daldev.android.gradehelper;159;14;27;200;0.9190751445086706;undefined
edu.mit.appinventor.aicompanion3;88;32;80;200;0.7333333333333333;undefined
com.duy.c.cpp.compiler;144;20;36;200;0.8780487804878049;undefined
com.japangor.learntocode;124;14;46;184;0.8985507246376812;undefined
com.C_Examples.C_Programming;9;0;4;13;1;undefined
com.paprbit.dcoder;158;13;29;200;0.9239766081871345;undefined
com.google.android.apps.classroom;122;24;54;200;0.8356164383561644;undefined
com.nenedevs.cursodeinformatica;0;0;1;1;NaN;undefined
com.java.malik.javaanim;102;0;5;107;1;undefined
com.wyzant.studentapp;180;11;9;200;0.9424083769633508;undefined
com.delphiapplications.delphiexamples;10;0;3;13;1;undefined
com.sukronmoh.bwi.belajarhtml;67;2;122;191;0.9710144927536232;undefined
oop.cite.pc_admin.trial_3navbar;3;4;0;7;0.42857142857142855;undefined
com.kids.coding.connectdots;1;5;1;7;0.16666666666666666;undefined
com.faadooengineers.free_cprogramming;37;5;15;57;0.8809523809523809;undefined
org.khankids.android;167;8;25;200;0.9542857142857143;undefined
learn.apps.javaprogramming;31;4;11;46;0.8857142857142857;undefined
com.ashatechsolutions.cprogramming;2;1;0;3;0.6666666666666666;undefined
sambhaji.android.java;146;20;34;200;0.8795180722891566;undefined
com.adriada.impararec;4;0;2;6;1;undefined
com.codepoint.learnreactjs;114;5;33;152;0.957983193277311;undefined
cc.nextlabs.go_1_10;6;1;1;8;0.8571428571428571;undefined
com.duolingo;155;12;33;200;0.9281437125748503;undefined
pl.maciejsadyapps.morsetrainer;20;4;7;31;0.8333333333333334;undefined
learn.web.php;161;15;24;200;0.9147727272727273;undefined
