bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais;estatistica do aplicativo;numero de estrelas
com.untan.siakaddosen;0;0;1;1;NaN;undefined
com.sandrobot.aprovado;11;1;49;61;0.9166666666666666;undefined
com.avstore.cctutorials;8;0;1;9;1;undefined
in.softecks.fortran;1;0;0;1;1;undefined
br.com.crewti.minhaleitura;14;2;10;26;0.875;undefined
com.appsfactory.learncplusplus;3;0;1;4;1;undefined
all.about.computer;20;1;3;24;0.9523809523809523;undefined
blueskydeveloper.androidprogramming;6;0;0;6;1;undefined
com.quadosoft.ethicalhacking;1;0;0;1;1;undefined
com.myapps.rishabhrawat.codingebooks;7;1;0;8;0.875;undefined
br.com.acaicomcodigo.informaticanobolso;1;0;0;1;1;undefined
learn.apps.pythonprogramming;19;1;7;27;0.95;undefined
com.wbut.objectorientedprogramming;1;1;0;2;0.5;undefined
com.jaindev.c;8;0;1;9;1;undefined
programmerbooks.com.app;7;3;0;10;0.7;undefined
com.superdream.rprogramming;9;1;1;11;0.9;undefined
com.nestik.phyton;3;0;1;4;1;undefined
learn.css.programming;0;0;1;1;NaN;undefined
da.namanmadan.com.programmingcheatsheets;10;3;3;16;0.7692307692307693;undefined
com.CodeHub.competitivecoding;19;1;3;23;0.95;undefined
com.spyboy.cprogramming;23;1;8;32;0.9583333333333334;undefined
com.infoland.oops;2;1;1;4;0.6666666666666666;undefined
com.qtechbd.tutorial.csharp;3;0;2;5;1;undefined
com.codepoint.learncplusplus;8;1;0;9;0.8888888888888888;undefined
com.app.cprogramingapp;15;1;0;16;0.9375;undefined
com.susanapp.cursodeinformatica;7;1;1;9;0.875;undefined
com.krazeapps.vbnetprogrammingcompiler;6;1;4;11;0.8571428571428571;undefined
learn.apps.csharpprogramming;5;0;3;8;1;undefined
in.intelitech.assembly;2;0;0;2;1;undefined
in.intelitech.computerprogramming;0;0;1;1;NaN;undefined
pk.mitz.calculatorsworld.computerscience;2;0;2;4;1;undefined
com.quseit.qlua5pro2;19;6;9;34;0.76;undefined
com.educationapps.visualbasicnet;10;0;7;17;1;undefined
net.egordmitriev.cheatsheets;23;3;10;36;0.8846153846153846;undefined
com.order.sony.orderone;0;2;2;4;0;undefined
mum.mum.java_test;7;0;0;7;1;undefined
com.app1daily.learncobol;1;0;1;2;1;undefined
com.codepoint.learnswift;7;0;1;8;1;undefined
com.app1daily.learnmatlab;3;1;1;5;0.75;undefined
com.williems.linformatique;17;0;4;21;1;undefined
com.programming_with_java.fullmasti;1;1;4;6;0.5;undefined
com.codepoint.learnjava;4;0;0;4;1;undefined
net.simplifiedcoding.simplifiedcoding;32;2;3;37;0.9411764705882353;undefined
com.pkj.learnpython;16;1;5;22;0.9411764705882353;undefined
