bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais;estatistica do aplicativo;numero de estrelas do app
my.book.ua.AOUVWFQPJIIAFRHOFO;20;8;12;40;0.71;3.5
com.app1daily.learncobol;4;0;4;8;1.00;4.6
com.linkedin.android.learning;344;16;40;400;0.96;4.7
com.appzap.learncprogramminginhindi;136;12;40;188;0.92;4.1
com.codeinpython.codeinpython;84;8;16;108;0.91;4.3
technark.htmlforbegineers;88;0;4;92;1.00;4.8
com.codeliber.html;348;4;48;400;0.99;4.6
robotic.industrial;280;24;96;400;0.92;4.4
com.csharp.learn.essentials;268;48;84;400;0.85;4.2
com.ashatechsolutions.cprogramming;8;4;0;12;0.67;4.6
com.spyboy.cplusplusprogramming;60;0;24;84;1.00;4.4
com.xtelltechnologies.htmltutoriallearncodetagscss;24;8;16;48;0.75;4.2
org.catrobat.catroid;232;84;84;400;0.73;3.9
com.educationapps.cncguide;32;0;12;44;1.00;4.1
com.mhasancse15.programminglanguage;44;4;8;56;0.92;4.1
com.ben.Tutorial.Learncomputer;16;0;4;20;1.00;4.4
com.coding.dmr.c;24;0;8;32;1.00;4.4
com.ozensoft.arduinoplcladdersim;100;16;20;136;0.86;4.1
com.studytonight.app;352;8;40;400;0.98;4.6
com.appybuilder.aadi_ben16.CTuit;16;0;4;20;1.00;4.6
curso.violao.formula.violao;0;4;0;4;0.00;4.0
com.namit.www.ndroid;232;8;16;256;0.97;4.7
free.programming.programming;304;20;76;400;0.94;4.6
com.codepoint.learnkotlin;16;0;8;24;1.00;4.0
com.bootstrap.code.play;136;4;20;160;0.97;4.4
com.jaypeesoft.ds;328;28;44;400;0.92;4.6
com.futurevisioncomputers.excelvba;96;12;20;128;0.89;4.3
sgdevelopers.learn_c_programming;188;0;48;236;1.00;4.4
com.wscubetech.learnpython;32;0;4;36;1.00;4.5
com.knightcoder.programmingebooks;268;52;80;400;0.84;4.3
com.shalik.patel.cprogrammingsolution;296;4;40;340;0.99;4.8
com.learnswiftprogramming;40;8;20;68;0.83;4.5
com.do_apps.catalog_285;40;8;8;56;0.83;4.0
com.gonliapps.learnportuguesefree.game;304;0;96;400;1.00;4.5
com.papumba.android.learnenglish;124;12;36;172;0.91;4.2
com.shashank.sony.cppprogrammingbyshashank;268;12;28;308;0.96;4.3
com.easy.hp.ctutorial;320;8;72;400;0.98;4.5
com.virtlab.cncsim_free;104;4;32;140;0.96;4.3
com.educationapps.visualbasicnet;40;0;28;68;1.00;4.0
com.codepoint.learncplusplus;32;4;0;36;0.89;4.1
com.krazeapps.csharpprogrammingcompiler;16;0;8;24;1.00;3.2
pl.paridae.app.android.mathmaster;332;12;56;400;0.97;4.3
com.appsenrique.pnlconpoder;0;4;8;12;0.00;4.6
com.classic.vast.com.aprendecxx;8;0;0;8;1.00;4.1
com.programmarc.cprogrammingbangla;240;0;124;364;1.00;4.1
com.riyazsiddiquiexti.androidlearningtutorial;132;0;0;132;1.00;4.9
com.something.harifbi175.myapplication;256;0;20;276;1.00;4.9
com.sololearn.csstrial;320;32;48;400;0.91;4.7
com.coderbro.tutorial.a8051microcontroller;16;0;8;24;1.00;4.3
com.vedprakashwagh.learnandroid;200;0;16;216;1.00;4.3
com.newageproductions.learnc;44;0;24;68;1.00;4.4
com.delphiapplications.delphiexamples;40;0;12;52;1.00;4.3
learnbook.oaktech;308;8;84;400;0.97;4.2
com.jaindev.c;32;0;4;36;1.00;4.2
com.velosys.interview_preparation;108;16;32;156;0.87;3.8
com.alansa.ideabag2;328;20;52;400;0.94;4.7
com.devlearnapp.devlearn;192;24;92;308;0.89;4.1
com.app.cprogramingapp;60;4;0;64;0.94;4.4
com.pranitkulkarni.sortingdemo;296;12;24;332;0.96;4.6
com.apkzube.learncpp;148;8;4;160;0.95;4.5
learn.c.programing;200;4;56;260;0.98;4.5
com.japangor.learntocodec;52;16;32;100;0.76;3.7
app.kasper.tutorials;44;0;4;48;1.00;4.5
com.clanguage.pradip.bitsofcomputer;80;0;12;92;1.00;4.4
com.cprograms4future.allcprograms;328;8;64;400;0.98;4.6
com.adriada.impararec;24;0;8;32;1.00;4.5
com.JustForYouLimited.LearnJavaScriptOffline;40;4;0;44;0.91;4.8
php.code.play;132;16;20;168;0.89;4.0
org.jw.jwlanguage;316;12;72;400;0.96;4.9
org.pbskids.scratchjr;100;24;56;180;0.81;4.1
tursky.jan.nauc.sa.html5;272;48;80;400;0.85;3.8
com.codepoint.learnangular;288;24;88;400;0.92;4.2
com.sololearn;348;12;40;400;0.97;4.8
morsecode.ort.com.morse;252;28;120;400;0.90;4.3
everyneedz.com.webdevelopment;324;20;56;400;0.94;4.1
learn.apps.htmlprogramming;12;0;16;28;1.00;4.5
com.quizmine.csref;284;28;88;400;0.91;4.3
ab.codelyf;324;32;44;400;0.91;4.4
com.dexterousdevelopers.cprogrammingtutorials;172;4;16;192;0.98;4.8
com.javahood.javadumps;160;0;16;176;1.00;4.6
com.SM_Developer;160;0;8;168;1.00;4.9
com.programming_with_java.fullmasti;4;4;16;24;0.50;4.1
com.appsfacto.hundred_one_c_problems;312;4;84;400;0.99;4.5
com.sololearn.php;308;12;80;400;0.96;4.5
com.bigknol.rapidphp360;56;4;0;60;0.93;4.8
com.area120.grasshopper;328;16;56;400;0.95;4.5
inventionsbyhamid.javaprograms;140;0;28;168;1.00;4.1
com.skyapper.learnaiwithpython;8;0;0;8;1.00;3.9
com.djm.offlinepythonnotes;308;20;72;400;0.94;4.4
com.ummaysoft.arduinoprogrammingnotebook;4;0;0;4;1.00;3.3
com.japangor.learntocode;264;28;108;400;0.90;4.0
com.sololearn.ruby;312;24;64;400;0.93;4.7
com.progforb.pfb;16;0;0;16;1.00;5.0
com.learn.tech.datascience;108;36;64;208;0.75;3.7
prueba.joseluismerlosguzman.prueba;0;4;0;4;0.00;3.3
com.myapplication.hp.learnjava;100;0;16;116;1.00;4.8
com.awwalsoft.javawebprogramming;236;12;44;292;0.95;4.4
com.kids.coding.connectdots;8;24;4;36;0.25;3.3
com.rahultamkhane.javaprogramming;52;0;20;72;1.00;4.4
com.allinex.sheerazahmed.javamcq1000;152;48;24;224;0.76;4.4
com.best.don.programmingbooks;272;60;68;400;0.82;4.2
com.lego.education.ev3;204;28;76;308;0.88;3.9
com.codepoint.learnandroid;252;20;56;328;0.93;4.1
com.lohriialo.swift;64;4;24;92;0.94;3.7
com.spyboy.javaprogramming;120;4;24;148;0.97;4.5
com.casatechno.www.TestYourProgrammingSkills;88;4;12;104;0.96;4.7
