Palavra Chave;Bundle Id;Nome do aplicativo;Número de avaliações;Número de estrelas;Número de instalações;Tamanho do aplicativo;Versão do android exigida
programação;com.simplex.free;Simplex Method;32;3.6;5,000+;3.4M;4.0.3 and up
programação;tursky.jan.nauc.sa.html5;Learn programming;12746;3.8;1,000,000+;6.8M;4.0.3 and up
programação;com.do_apps.catalog_142;Tools programmer;189;4.6;50,000+;24M;4.4 and up
programação;com.quseit.qlua5pro2;QLua - Lua on Android;269;4.0;50,000+;6.4M;4.0 and up
programação;com.sescsp.android.geatg;Sesc SP;194;2.9;50,000+;12M;Varies with device
programação;org.catrobat.catroid;Pocket Code: Learn programming your own game apps!;11432;4.0;500,000+;23M;5.0 and up
programação;com.getmimo;Mimo: Learn to Code;80438;4.4;1,000,000+;24M;5.0 and up
programação;org.qpython.qpy3;QPython3 - Python3 for Android;5258;4.0;1,000,000+;22M;2.3 and up
programação;com.sololearn;SoloLearn: Learn to Code for Free;388025;4.8;5,000,000+;9.1M;4.0.3 and up
programação;com.cprograms4future.allcprograms;All C Programs;4722;4.6;100,000+;7.3M;4.1 and up
programação;com.CoderBro.tutorials.arduinotutorials;Arduino Tutorials;719;4.0;100,000+;8.1M;4.0.3 and up
programação;com.do_apps.catalog_485;Object-oriented programming;56;3.8;10,000+;10M;4.4 and up
