Bundle Id;PolaridadeAplicativo;numeroEstrelas;grupos
com.superdream.rprogramming;0.91;4.2;3
net.androidsquad.androidmaster;0.92;4.6;1
geniusfactoryapp.programmationandroid;0.00;4.4;3
motivationquotes.daily.com.pdfdownload;0.91;4.2;3
tk.app.start;0.00;4.6;3
com.jcharistechn.learnjuliaprogramming;1.00;4.8;3
com.clickapp.ik.listview;1.00;4.8;3
com.faadooengineers.free_cprogramming;0.88;3.9;3
com.nsk.cprogramming;0.92;4.2;3
itools.aiwithpython;0.93;4.4;3
com.sololearn.htmltrial;0.91;4.7;4
com.codeintelligent.onlinecompiler;0.86;4.2;3
com.spyboy.cprogramming;0.96;4.4;3
com.app1daily.a1db304;0.50;3.6;3
cplusplus.programming;1.00;4.0;3
com.codengoclient;0.86;4.6;3
com.CodeHub.competitivecoding;0.95;4.4;3
com.noelvillaman.softwares.javasolo;1.00;4.1;3
com.do_apps.catalog_485;1.00;3.7;3
com.codetoinvent.malik.cprogramming;1.00;4.6;3
com.learning.examples.arduino;0.00;3.6;3
learn.apps.androidprogramming;0.73;4.1;3
com.codepoint.learnnetworking;1.00;4.8;3
com.codenza.dp.programs;0.94;4.6;3
com.redlee90.learn6502assembly;0.80;4.5;3
com.awwalsoft.javabasicslearning;0.97;4.4;3
com.mrsoftbd.webdesignlearnoffline;0.95;4.2;3
com.practice_o_learn.javaprogramming;1.00;4.5;3
com.sololearn.python;0.79;4.6;4
br.com.acaicomcodigo.informaticanobolso;1.00;4.7;3
coding.riya_rayan.ccoding;0.96;4.6;3
com.codepoint.learnjavascript;0.96;4.3;3
in.intelitech.computerprogramming;1.00;4.3;3
com.codetoinvent.malik.cplusplus;0.95;4.6;3
learn.apps.unixprogramming;0.84;4.3;3
com.codebrink.codebrink;1.00;4.9;3
com.programmingzemi;1.00;3.9;3
trycodehub.com;0.89;4.4;3
com.rpms.rohitpatil.learnjava;0.98;4.6;3
com.successcrazzy.datascience101;0.84;4.2;3
com.frizzl.app.frizzleapp;1.00;4.6;3
com.samsung.android.codemaker;0.78;3.9;3
com.programminginbangla;0.88;4.3;3
ltos.learn.cand.java;0.89;4.0;3
com.skycodetech.codingquiz;0.92;4.5;3
com.antlem.coderhub;1.00;4.6;3
in.softecks.ruby;0.50;4.5;3
com.back_banchers.html;0.94;3.7;3
info.younglinux.pythonexercises;1.00;4.1;3
com.buta.caculator;0.98;4.6;1
com.myapps.rishabhrawat.codingebooks;0.89;3.9;3
com.codepoint.learnphp7;1.00;4.3;3
com.HTML.AngularJS.Codeplay;0.93;4.5;3
com.skyapper.learnphp;1.00;4.8;3
com.tech.prabhansh.programminginc;1.00;4.7;3
sambhaji.asp.vb;0.79;4.0;3
com.codepoint.learnreactjs;0.96;3.9;3
com.codepoint.learnjava;1.00;4.1;3
org.scratchjr.android;0.81;3.8;1
com.zdivdev.ebook.lua;1.00;4.2;3
com.do_apps.catalog_478;1.00;4.0;3
com.codingpreperation.csinterviewpreperation.programming;0.96;4.5;3
com.cprogrammingzone.free;0.94;4.6;3
com.myapp.designpatternscs;0.91;4.8;3
com.easy.home.javatutorial;0.96;4.2;3
c.spotapps.com.learnc;1.00;4.9;3
in.intelitech.cobol;1.00;4.9;3
project.com.clanguage;1.00;4.3;3
mc.javatutor.offline;1.00;4.4;3
com.chavan.oops;0.95;4.6;3
com.educationapps.cncprogrammingexamples;1.00;4.4;3
pe.diegoveloper.pseudocode;0.87;4.4;3
in.softecks.cplusplus;0.00;4.2;3
com.code.jupiter.nodejs;0.94;4.5;3
com.sitseducators.cpatternprogramsfree;0.99;4.7;3
com.nj.pubgw.codingfun;0.67;3.0;3
com.java.bluestartech.javahelpingbook;0.98;4.1;3
com.becomecoder.mainpdf;1.00;4.6;3
in.softecks.perl;1.00;4.6;3
com.enki.insights;0.93;4.6;1
com.codepoint.learnhtml5;1.00;4.2;3
com.kano.app;0.59;2.3;3
com.pkj.learncprogramming;1.00;4.6;3
com.japangor.learnjava;0.84;4.1;3
learn.java.programming;1.00;4.3;3
com.limesdevelopment.morsecode;0.88;4.5;3
learn.apps.javaprogramming;0.89;4.4;3
onanmobilesoftware.datastructuresandalgorithms;0.90;4.1;3
com.atulindap.gotutorials;1.00;4.1;3
com.easy.hp.cpptutorial;0.99;4.6;3
in.edu.pd;0.91;3.8;3
com.tops.learnvern;0.89;4.6;3
com.do_apps.catalog_978;1.00;4.2;3
gudev.learn.phpprogrammingcoding;1.00;4.3;3
com.quizmine.comboCandCplus;0.67;4.1;3
sambhaji.android.java;0.90;4.2;3
br.com.mlearn.qualifica;0.25;3.7;3
com.awwalsoft.javadeeplearning;0.96;4.5;3
com.apkzube.learnjavaprogramming;0.97;4.3;3
com.doasido4u.jsquiz;0.85;4.7;3
com.lpalominos.horariodeclases;0.75;4.1;3
sql.code.play;0.94;4.1;3
excel.shortcuts;0.98;4.4;3
com.theeasylearn.java;0.93;4.5;3
com.edokiacademy.babycoding;0.83;3.8;3
mum.mum.java_test;1.00;4.5;3
com.codepoint.learnrprogramming;0.63;4.3;3
com.wagmob.pythonkidsandscratchpro;0.00;2.6;3
com.continuum.learncss;0.94;4.6;3
com.codepoint.learndart;0.75;4.3;3
com.japangor.learnjs;0.50;2.8;3
com.amensah.easycoder;0.92;4.5;3
com.PixBlocks;1.00;4.0;3
com.codeliber.css;0.98;4.7;3
com.superlearn.aiwithpython;0.80;4.0;3
com.sitseducators.javapatternprogramsfree;0.99;4.5;3
com.soft24hours.dictionaries.dictionary22;1.00;4.2;3
net.jshero;0.80;4.2;3
com.csmcqs.asif.dsmcqs;0.75;4.5;3
com.faadooengineers.free_principlesofprogramming;0.89;4.0;3
com.app1daily.learnmatlab;0.75;4.4;3
com.creativeworld.android.geeks_code;0.85;3.9;3
technark.bca_courprogramming;0.98;4.4;3
ru.code_samples.obraztsov_develop.codesamples_free;1.00;4.9;3
com.sphero.sprk;0.90;4.3;3
io.kodular.rohansrivastava2520.coding_ebooks;1.00;4.1;3
com.japangor.python;0.81;3.7;3
com.thenewday.programmingcalendar.tpc;1.00;4.8;3
com.duy.pascal.compiler;0.95;4.7;1
org.qpython.qpy3;0.85;4.1;1
com.datacamp;0.95;4.8;3
my.book.ua.AOUVWFQPJIIAFRHOFO;0.71;3.5;3
com.app1daily.learncobol;1.00;4.6;3
com.linkedin.android.learning;0.96;4.7;1
com.appzap.learncprogramminginhindi;0.92;4.1;3
com.codeinpython.codeinpython;0.91;4.3;3
technark.htmlforbegineers;1.00;4.8;3
com.codeliber.html;0.99;4.6;3
robotic.industrial;0.92;4.4;3
com.csharp.learn.essentials;0.85;4.2;3
com.ashatechsolutions.cprogramming;0.67;4.6;3
com.spyboy.cplusplusprogramming;1.00;4.4;3
